date,time,DOY,ALB_1_1_1,LOGGERPOWER_1_1_1,LOGGERTEMP_1_1_1,VIN_1_1_1,LWIN_1_1_1,LWOUT_1_1_1,PPFD_1_1_1,P_RAIN_1_1_1,RH_1_1_1,RN_1_1_1,SHFHEATER_1_1_1,SHFSENS_1_1_1,SHFSENS_2_1_1,SHFSENS_3_1_1,SHF_1_1_1,SHF_2_1_1,SHF_3_1_1,SWC_1_1_1,SWC_2_1_1,SWC_3_1_1,SWIN_1_1_1,SWOUT_1_1_1,TA_1_1_1,TCNR4_1_1_1,TS_1_1_1,TS_2_1_1,TS_3_1_1,VERSION_1_1_1
[yyyy-mm-dd],[HH:MM],[ddd.ddd],[%],[OTHER],[C],[V],[W/m^2],[W/m^2],[µmol/m^2/s],[m],[%],[W/m^2],[OTHER],[OTHER],[OTHER],[OTHER],[W/m^2],[W/m^2],[W/m^2],[m^3/m^3],[m^3/m^3],[m^3/m^3],[W/m^2],[W/m^2],[K],[C],[K],[K],[K],[OTHER]
2019-03-24,00:30,83.020,0.24008525708333261,1.0000000000000000,17.489166666666659,12.028020833333333,307.28547083333331,376.27517083333328,121.04083224916705,0.0000000000000000,78.698497083333336,-19.229917662499894,1.2499999999999966E-002,1.0000000000000000,1.0000000000000000,1.0000000000000000,-29.808023124999995,-412.83011999999962,-346.38546559999980,1.3831249999999998E-002,0.11428437500000001,8.0035416666666664E-002,60.535594086249908,10.748466291666634,285.46097129166662,11.968841333333339,285.18156249999998,286.16833333333335,286.76270833333331,3.0000000000000000
2019-03-24,01:00,83.041,0.24008525708333261,1.0000000000000000,17.489166666666659,12.028020833333333,307.28547083333331,376.27517083333328,121.04083224916705,0.0000000000000000,78.698497083333336,-19.229917662499894,1.2499999999999966E-002,1.0000000000000000,1.0000000000000000,1.0000000000000000,-29.808023124999995,-412.83011999999962,-346.38546559999980,1.3831249999999998E-002,0.11428437500000001,8.0035416666666664E-002,60.535594086249908,10.748466291666634,285.46097129166662,11.968841333333339,285.18156249999998,286.16833333333335,286.76270833333331,3.0000000000000000
2019-03-24,01:30,83.062,0.24008525708333261,1.0000000000000000,17.489166666666659,12.028020833333333,307.28547083333331,376.27517083333328,121.04083224916705,0.0000000000000000,78.698497083333336,-19.229917662499894,1.2499999999999966E-002,1.0000000000000000,1.0000000000000000,1.0000000000000000,-29.808023124999995,-412.83011999999962,-346.38546559999980,1.3831249999999998E-002,0.11428437500000001,8.0035416666666664E-002,60.535594086249908,10.748466291666634,285.46097129166662,11.968841333333339,285.18156249999998,286.16833333333335,286.76270833333331,3.0000000000000000
2019-03-24,02:00,83.083,0.24008525708333261,1.0000000000000000,17.489166666666659,12.028020833333333,307.28547083333331,376.27517083333328,121.04083224916705,0.0000000000000000,78.698497083333336,-19.229917662499894,1.2499999999999966E-002,1.0000000000000000,1.0000000000000000,1.0000000000000000,-29.808023124999995,-412.83011999999962,-346.38546559999980,1.3831249999999998E-002,0.11428437500000001,8.0035416666666664E-002,60.535594086249908,10.748466291666634,285.46097129166662,11.968841333333339,285.18156249999998,286.16833333333335,286.76270833333331,3.0000000000000000
2019-03-24,02:30,83.104,0.24008525708333261,1.0000000000000000,17.489166666666659,12.028020833333333,307.28547083333331,376.27517083333328,121.04083224916705,0.0000000000000000,78.698497083333336,-19.229917662499894,1.2499999999999966E-002,1.0000000000000000,1.0000000000000000,1.0000000000000000,-29.808023124999995,-412.83011999999962,-346.38546559999980,1.3831249999999998E-002,0.11428437500000001,8.0035416666666664E-002,60.535594086249908,10.748466291666634,285.46097129166662,11.968841333333339,285.18156249999998,286.16833333333335,286.76270833333331,3.0000000000000000
2019-03-24,03:00,83.124,0.24008525708333261,1.0000000000000000,17.489166666666659,12.028020833333333,307.28547083333331,376.27517083333328,121.04083224916705,0.0000000000000000,78.698497083333336,-19.229917662499894,1.2499999999999966E-002,1.0000000000000000,1.0000000000000000,1.0000000000000000,-29.808023124999995,-412.83011999999962,-346.38546559999980,1.3831249999999998E-002,0.11428437500000001,8.0035416666666664E-002,60.535594086249908,10.748466291666634,285.46097129166662,11.968841333333339,285.18156249999998,286.16833333333335,286.76270833333331,3.0000000000000000
2019-03-24,03:30,83.145,0.24008525708333261,1.0000000000000000,17.489166666666659,12.028020833333333,307.28547083333331,376.27517083333328,121.04083224916705,0.0000000000000000,78.698497083333336,-19.229917662499894,1.2499999999999966E-002,1.0000000000000000,1.0000000000000000,1.0000000000000000,-29.808023124999995,-412.83011999999962,-346.38546559999980,1.3831249999999998E-002,0.11428437500000001,8.0035416666666664E-002,60.535594086249908,10.748466291666634,285.46097129166662,11.968841333333339,285.18156249999998,286.16833333333335,286.76270833333331,3.0000000000000000
2019-03-24,04:00,83.166,0.24008525708333261,1.0000000000000000,17.489166666666659,12.028020833333333,307.28547083333331,376.27517083333328,121.04083224916705,0.0000000000000000,78.698497083333336,-19.229917662499894,1.2499999999999966E-002,1.0000000000000000,1.0000000000000000,1.0000000000000000,-29.808023124999995,-412.83011999999962,-346.38546559999980,1.3831249999999998E-002,0.11428437500000001,8.0035416666666664E-002,60.535594086249908,10.748466291666634,285.46097129166662,11.968841333333339,285.18156249999998,286.16833333333335,286.76270833333331,3.0000000000000000
2019-03-24,04:30,83.187,6.3274623430962310E-002,1.0000000000000000,8.5258333333333276,12.021518750000000,289.87507083333333,339.68784166666666,-8.0435006341666746,0.0000000000000000,95.396317083333329,-53.967286374999958,1.2500000000000028E-002,1.0000000000000000,1.0000000000000000,1.0000000000000000,-62.683603749999996,151.73102898333354,546.61283749999950,1.3205208333333333E-002,0.11504687500000001,7.9122916666666668E-002,-2.3286750125000051,1.8258473749999999,278.79717837499999,4.7482282083333329,285.40583333333331,285.65833333333330,285.03541666666666,3.0000000000000000
